STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00116738,"PERRY 6 NW, IL US",1/1/2000,0,50,29,41
USC00116738,"PERRY 6 NW, IL US",1/2/2000,0,61,52,60
USC00116738,"PERRY 6 NW, IL US",1/3/2000,0,65,34,36
USC00116738,"PERRY 6 NW, IL US",1/4/2000,0.06,42,22,22
USC00116738,"PERRY 6 NW, IL US",1/5/2000,0,26,10,15
USC00116738,"PERRY 6 NW, IL US",1/6/2000,0,35,20,32
USC00116738,"PERRY 6 NW, IL US",1/7/2000,0,45,23,27
USC00116738,"PERRY 6 NW, IL US",1/8/2000,0,44,25,32
USC00116738,"PERRY 6 NW, IL US",1/9/2000,0.04,44,32,41
USC00116738,"PERRY 6 NW, IL US",1/10/2000,0.07,50,37,40
USC00116738,"PERRY 6 NW, IL US",1/11/2000,0,54,29,30
USC00116738,"PERRY 6 NW, IL US",1/12/2000,0,42,21,27
USC00116738,"PERRY 6 NW, IL US",1/13/2000,0,49,22,22
USC00116738,"PERRY 6 NW, IL US",1/14/2000,0,32,10,14
USC00116738,"PERRY 6 NW, IL US",1/15/2000,0,39,19,33
USC00116738,"PERRY 6 NW, IL US",1/16/2000,0,61,29,29
USC00116738,"PERRY 6 NW, IL US",1/17/2000,0,37,28,29
USC00116738,"PERRY 6 NW, IL US",1/18/2000,0,32,27,28
USC00116738,"PERRY 6 NW, IL US",1/19/2000,0,37,23,28
USC00116738,"PERRY 6 NW, IL US",1/20/2000,0.04,35,6,6
USC00116738,"PERRY 6 NW, IL US",1/21/2000,0,21,5,9
USC00116738,"PERRY 6 NW, IL US",1/22/2000,0,37,7,25
USC00116738,"PERRY 6 NW, IL US",1/23/2000,0,40,20,22
USC00116738,"PERRY 6 NW, IL US",1/24/2000,0,25,3,5
USC00116738,"PERRY 6 NW, IL US",1/25/2000,0,34,4,17
USC00116738,"PERRY 6 NW, IL US",1/26/2000,0,24,4,6
USC00116738,"PERRY 6 NW, IL US",1/27/2000,0,24,0,8
USC00116738,"PERRY 6 NW, IL US",1/28/2000,0,31,8,15
USC00116738,"PERRY 6 NW, IL US",1/29/2000,0,29,14,20
USC00116738,"PERRY 6 NW, IL US",1/30/2000,0.29,25,17,24
USC00116738,"PERRY 6 NW, IL US",1/31/2000,0,29,10,12
USC00116738,"PERRY 6 NW, IL US",2/1/2000,0,32,15,18
USC00116738,"PERRY 6 NW, IL US",2/2/2000,0,32,15,17
USC00116738,"PERRY 6 NW, IL US",2/3/2000,0,39,19,38
USC00116738,"PERRY 6 NW, IL US",2/4/2000,0,44,23,25
USC00116738,"PERRY 6 NW, IL US",2/5/2000,0,34,25,26
USC00116738,"PERRY 6 NW, IL US",2/6/2000,0,38,24,24
USC00116738,"PERRY 6 NW, IL US",2/7/2000,0,49,25,30
USC00116738,"PERRY 6 NW, IL US",2/8/2000,0,47,17,23
USC00116738,"PERRY 6 NW, IL US",2/9/2000,0,47,22,46
USC00116738,"PERRY 6 NW, IL US",2/10/2000,0.01,64,37,45
USC00116738,"PERRY 6 NW, IL US",2/11/2000,0,63,27,30
USC00116738,"PERRY 6 NW, IL US",2/12/2000,0,31,24,24
USC00116738,"PERRY 6 NW, IL US",2/13/2000,0,45,24,37
USC00116738,"PERRY 6 NW, IL US",2/14/2000,0.06,38,29,30
USC00116738,"PERRY 6 NW, IL US",2/15/2000,0,34,28,34
USC00116738,"PERRY 6 NW, IL US",2/16/2000,0,55,27,28
USC00116738,"PERRY 6 NW, IL US",2/17/2000,0,40,22,28
USC00116738,"PERRY 6 NW, IL US",2/18/2000,0.57,38,28,34
USC00116738,"PERRY 6 NW, IL US",2/19/2000,0.01,35,26,28
USC00116738,"PERRY 6 NW, IL US",2/20/2000,0,34,25,29
USC00116738,"PERRY 6 NW, IL US",2/21/2000,0,49,29,37
USC00116738,"PERRY 6 NW, IL US",2/22/2000,0,57,37,51
USC00116738,"PERRY 6 NW, IL US",2/23/2000,0,70,46,57
USC00116738,"PERRY 6 NW, IL US",2/24/2000,0.09,61,53,55
USC00116738,"PERRY 6 NW, IL US",2/25/2000,0,69,43,59
USC00116738,"PERRY 6 NW, IL US",2/26/2000,0.32,74,51,56
USC00116738,"PERRY 6 NW, IL US",2/27/2000,0.05,62,39,39
USC00116738,"PERRY 6 NW, IL US",2/28/2000,0,56,28,39
USC00116738,"PERRY 6 NW, IL US",2/29/2000,0,64,41,49
USC00116738,"PERRY 6 NW, IL US",3/1/2000,0.19,66,36,38
USC00116738,"PERRY 6 NW, IL US",3/2/2000,0,53,30,35
USC00116738,"PERRY 6 NW, IL US",3/3/2000,0,49,33,33
USC00116738,"PERRY 6 NW, IL US",3/4/2000,0,41,24,35
USC00116738,"PERRY 6 NW, IL US",3/5/2000,0,60,35,55
USC00116738,"PERRY 6 NW, IL US",3/6/2000,0,68,32,45
USC00116738,"PERRY 6 NW, IL US",3/7/2000,0,72,47,61
USC00116738,"PERRY 6 NW, IL US",3/8/2000,0,81,60,63
USC00116738,"PERRY 6 NW, IL US",3/9/2000,0,79,39,39
USC00116738,"PERRY 6 NW, IL US",3/10/2000,0,43,32,32
USC00116738,"PERRY 6 NW, IL US",3/11/2000,0,40,30,30
USC00116738,"PERRY 6 NW, IL US",3/12/2000,0,46,23,45
USC00116738,"PERRY 6 NW, IL US",3/13/2000,0,55,39,42
USC00116738,"PERRY 6 NW, IL US",3/14/2000,0,50,26,41
USC00116738,"PERRY 6 NW, IL US",3/15/2000,0.08,52,41,51
USC00116738,"PERRY 6 NW, IL US",3/16/2000,0.49,70,34,34
USC00116738,"PERRY 6 NW, IL US",3/17/2000,0,45,25,32
USC00116738,"PERRY 6 NW, IL US",3/18/2000,0.13,46,31,32
USC00116738,"PERRY 6 NW, IL US",3/19/2000,0.4,42,32,39
USC00116738,"PERRY 6 NW, IL US",3/20/2000,0.21,43,36,36
USC00116738,"PERRY 6 NW, IL US",3/21/2000,0.08,45,36,44
USC00116738,"PERRY 6 NW, IL US",3/22/2000,0.01,52,44,48
USC00116738,"PERRY 6 NW, IL US",3/23/2000,0,58,41,51
USC00116738,"PERRY 6 NW, IL US",3/24/2000,0.13,69,52,60
USC00116738,"PERRY 6 NW, IL US",3/25/2000,0,73,44,46
