Year,District,Harvested_percentage,Yield,Harvested,Plant_Date,Prec_Planted_30,Silk_Date,Prec_Pollinated_14,Prec_Harvest,Prec_TOTAL,Prec_ANNUAL,Year
2000,20 - NE,95,148,1486000,5/7/00,5.1575,7/23/00,2.245,10/15/00,23.4325,37.34,0
2001,20 - NE,95,143,1525000,5/6/01,5.964,7/22/01,0.678,11/4/01,25.48,37.4,1
2002,20 - NE,96,127,1524000,5/12/02,5.742,7/21/02,1.238,10/20/02,12.874,28.108,2
2003,20 - NE,98,163,1573000,4/23/03,6.331,7/20/03,1.488,10/26/03,21.808,32.2,3
2004,20 - NE,83,174,1602000,5/2/04,6.0583,7/18/04,0.415,10/24/04,22.02,35.2,4
2005,20 - NE,98,129,1681000,5/1/05,1.394,7/17/05,2.502,10/16/05,10.862,23.68,5
2006,20 - NE,85,176,1597000,4/30/06,3.506,7/16/06,1.054,10/29/06,24.292,39.6,6
2007,20 - NE,96,185,1835000,5/6/07,2.4135,7/15/07,4.676,10/7/07,24.1466,42.93,7
2008,20 - NE,90,183,1679000,5/11/08,5.2832,7/27/08,2.177,11/2/08,28.974,46.33,8
2009,20 - NE,79,166,1717000,5/24/09,4.9109,8/2/09,1.485,11/29/09,26.0369,50.805,9
2010,20 - NE,,169,1137000,5/6/10,7.285,7/21/10,2.559,10/26/10,23.1155,35.88,10
2011,20 - NE,,173.6,1185000,5/6/11,5.834,7/21/11,2.053,10/26/11,24.095,43.59,11
2012,20 - NE,,131.4,1153000,5/6/12,2.775,7/21/12,0.3107,10/26/12,15.503,25.99,12
2013,20 - NE,,182.2,1135000,5/6/13,5.754,7/21/13,1.307,10/26/13,19.7019,43.66,13
2014,20 - NE,,192.9,1038000,5/6/14,4.724,7/21/14,0.302,10/26/14,25.17,37.99,14
2015,20 - NE,,178.1,1034000,5/6/15,4.566,7/21/15,0.809,10/26/15,25.705,47.29,15
2016,20 - NE,,205.8,1020000,5/6/16,4.258,7/21/16,2.302,10/26/16,28.681,41.73,16
2017,20 - NE,,200.2,974000,5/6/17,3.965,7/21/17,4.253,10/26/17,23.917,42.92,17
2018,20 - NE,,199,996000,5/6/18,3.604,7/21/18,0.502,10/26/18,22.7036,37.91,18
2000,60 - WSW,97,168,1062000,4/23/00,1.577,7/9/00,0.8367,10/1/00,22.73,35.16,0
2001,60 - WSW,99,154,1048000,4/29/01,2.843,7/15/01,1.905,9/30/01,20.745,40.71,1
2002,60 - WSW,99,136,1064000,5/26/02,6.213,7/21/02,1.46,10/20/02,18.366,42.81,2
2003,60 - WSW,100,174,1034000,4/27/03,3.58,7/20/03,1.76,10/12/03,24.922,43.79,3
2004,60 - WSW,99,186,1100000,4/18/04,4.037,7/4/04,2.487,10/3/04,18.647,35.29,4
2005,60 - WSW,100,151,1112000,4/17/05,1.352,7/10/05,1.32,9/25/05,12.845,30.36,5
2006,60 - WSW,99,153,1028000,4/23/06,1.67,7/9/06,2.733,10/8/06,18.38,33.45,6
2007,60 - WSW,100,170,1229000,4/29/07,2.697,7/8/07,0.8167,9/23/07,9.2867,30.67,7
2008,60 - WSW,97,174,1167000,5/18/08,7.847,7/27/08,2.483,11/2/08,34.563,55.33,8
2009,60 - WSW,97,176,1114000,5/24/09,5.64,7/26/09,0.9,11/15/09,24.97,48.4,9
2010,60 - WSW,,152.7,1758000,5/2/10,6.462,7/14/10,7.12,10/11/10,33.102,50.22,10
2011,60 - WSW,,148.4,1754000,5/2/11,7.288,7/14/11,0.9967,10/11/11,20.648,43,11
2012,60 - WSW,,99.1,1727000,5/2/12,1.315,7/14/12,0.5117,10/11/12,11.988,27.89,12
2013,60 - WSW,,181,1600000,5/2/13,9.9633,7/14/13,1.3367,10/11/13,21.445,41.7,13
2014,60 - WSW,,207.4,1654000,5/2/14,3.702,7/14/14,0.5733,10/11/14,30.493,43.34,14
2015,60 - WSW,,167.1,1627000,5/2/15,5.71,7/14/15,4.66,10/11/15,31.71,53.73,15
2016,60 - WSW,,196,1638000,5/2/16,3.59,7/14/16,3.05,10/11/16,17.255,27.18,16
2017,60 - WSW,,198.6,1508000,5/2/17,7.78,7/14/17,1.32,10/11/17,20.555,37.42,17
2018,60 - WSW,,215.3,1457000,5/2/18,3.13,7/14/18,1.87,10/11/18,19.345,35.25,18
